"name","location","short_description","sys_class_name","asset","category","change_control","asset_tag","department","managed_by_group","managed_by","monitor","owned_by","install_status","subcategory","support_group","supported_by","assigned_to","assignment_group"
"IBM ThinkPad Keyboard Customizer Utility","","","Software","","","","","","","","false","","Installed","","","","",""
"IBM ThinkPad Power Management Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"IBM ThinkPad Presentation Director","","","Software","","","","","","","","false","","Installed","","","","",""
"IBM ThinkPad UltraNav Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"IBM ThinkPad UltraNav Wizard","","","Software","","","","","","","","false","","Installed","","","","",""
"IBM ThinkVantage Technologies Welcome Message","","","Software","","","","","","","","false","","Installed","","","","",""
"IBM TrackPoint Accessibility Features","","","Software","","","","","","","","false","","Installed","","","","",""
"IBM Update Connector","","","Software","","","","","","","","false","","Installed","","","","",""
"IBM Wireless LAN Adapters Software (11a/b, 11b/g, 11a/b/g)
		","","","Software","","","","","","","","false","","Installed","","","","",""
"IBM-D2432C79222","153 South Sierra Avenue, Solana Beach,CA","","Computer","P1000153 - Toshiba Portege R835-P81","Do not migrate to asset","","P1000153","Development","","","false","","","","","","David Loo",""
"IBM-T42-DLG","13308 Midland Road, Poway,CA","","Computer","P1000046 - Sony VAIO F Series","Do not migrate to asset","","P1000046","Development","","","false","","","","","","Don Goodliffe",""
"ICA Client","","","Software","","","","","","","","false","","Installed","","","","",""
"ICA Remote","","","Software","","","","","","","","false","","Installed","","","","",""
"IconMaker 2002 Deluxe Demo","","","Software","","","","","","","","false","","Installed","","","","",""
"iDisk Utility for Windows","","","Software","","","","","","","","false","","Installed","","","","",""
"Illustrator","","","Software","","","","","","","","false","","Installed","","","","",""
"Image Converter 2","","","Software","","","","","","","","false","","Installed","","","","",""
"Image Editor","","","Software","","","","","","","","false","","Installed","","","","",""
"ImageMate 8 in 1 Read/Writer (SDDR-88)","","","Software","","","","","","","","false","","Installed","","","","",""
"ImageMixer VCD2","","","Software","","","","","","","","false","","Installed","","","","",""
"ImageReady","","","Software","","","","","","","","false","","Installed","","","","",""
"Imaging","","","Software","","","","","","","","false","","Installed","","","","",""
"InCD","","","Software","","","","","","","","false","","Installed","","","","",""
"InDesign","","","Software","","","","","","","","false","","Installed","","","","",""
"Infuzer","","","Software","","","","","","","","false","","Installed","","","","",""
"Inno Setup Uninstaller","","","Software","","","","","","","","false","","Installed","","","","",""
"INSIGHT-NY-03","5052 Clairemont Drive, San Diego,CA","","Server","P1000201 - Dell Inc. PowerEdge M710HD Blade Server","Do not migrate to asset","","P1000201","","","Bow Ruggeri","false","","Installed","","","","",""
"InstallDriver","","","Software","","","","","","","","false","","Installed","","","","",""
"InstallShield","","","Software","","","","","","","","false","","Installed","","","","",""
"InstallShield Update Service","","","Software","","","","","","","","false","","Installed","","","","",""
"InstantShare","","","Software","","","","","","","","false","","Installed","","","","",""
"InstantShare","","","Software","","","","","","","","false","","Installed","","","","",""
"InstantShare","","","Software","","","","","","","","false","","Installed","","","","",""
"InstrumentationService","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel (R) Pro Alerting Agent","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel Application Accelerator","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) 537EP V9x DF PCI Modem","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) Extreme Graphics 2 Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) Extreme Graphics Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) Graphics Media Accelerator Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) Graphics Media Accelerator Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) Graphics Media Accelerator Driver for Mobile","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) LAN Adapters SNMP Agent","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) PRO Ethernet Adapter and Software","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) PRO Network Adapters and Drivers","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) PRO Network Connections Drivers","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) PROSet","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) PROSet for Wired Connections","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) PROSet for Wired Connections","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) PROSet II","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) PROSet II","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) PROSet II","","","Software","","","","","","","","false","","Installed","","","","",""
"Intel(R) PROSet/Wireless Software","","","Software","","","","","","","","false","","Installed","","","","",""
"Intellisync","","","Software","","","","","","","","false","","Installed","","","","",""
"Intellisync Desktop","","","Software","","","","","","","","false","","Installed","","","","",""
"Intellisync for Quicken","","","Software","","","","","","","","false","","Installed","","","","",""
"IntelÆ Pro Alerting Agent, Version 3.0.0","","","Software","","","","","","","","false","","Installed","","","","",""
"IntelÆ PRO Network Adapters WMI Provider (2.0)","","","Software","","","","","","","","false","","Installed","","","","",""
"Internet Explorer","","","Software","","","","","","","","false","","Installed","","","","",""
"Internet Explorer Default Page","","","Software","","","","","","","","false","","Installed","","","","",""
"Internet Explorer Q832894","","","Software","","","","","","","","false","","Installed","","","","",""
"Internet Explorer Q903235","","","Software","","","","","","","","false","","Installed","","","","",""
"Internet Registration Wizard","","","Software","","","","","","","","false","","Installed","","","","",""
"Internet Worm Protection","","","Software","","","","","","","","false","","Installed","","","","",""
"Internet Worm Protection","","","Software","","","","","","","","false","","Installed","","","","",""
"InterVideo WinDVD","","","Software","","","","","","","","false","","Installed","","","","",""
"InterVideo WinDVD","","","Software","","","","","","","","false","","Installed","","","","",""
"InterVideo WinDVD","","","Software","","","","","","","","false","","Installed","","","","",""
"InterVideo WinDVD 5 for VAIO","","","Software","","","","","","","","false","","Installed","","","","",""
"InterVideo WinDVD Creator","","","Software","","","","","","","","false","","Installed","","","","",""
"InterVideo WinDVD Creator 2","","","Software","","","","","","","","false","","Installed","","","","",""
"InterVideo WinDVD for VAIO","","","Software","","","","","","","","false","","Installed","","","","",""
"InterVideo WinDVDX","","","Software","","","","","","","","false","","Installed","","","","",""
"IP Subnet Calculator","","","Software","","","","","","","","false","","Installed","","","","",""
"IP-Router-1","","","IP Router","","Resource","","","","","","false","","Installed","IP","","","",""
"IP-Router-2","","","IP Router","","Resource","","","","","","false","","Installed","IP","","","",""
"IP-Router-3","","","IP Router","","Resource","","","","","","false","","Installed","IP","","","",""
"IP-Storage-Sw-1","","","Storage Switch","","","","","","","","false","","Installed","","","","",""
"IP-Switch-1","","","IP Switch","","Resource","","","","","","false","","Installed","IP","","","",""
"iPhoto Express","","","Software","","","","","","","","false","","Installed","","","","",""
"iPod for Windows 2005-02-07","","","Software","","","","","","","","false","","Installed","","","","",""
"iPod for Windows 2005-09-23","","","Software","","","","","","","","false","","Installed","","","","",""
"iPod for Windows 2005-11-17","","","Software","","","","","","","","false","","Installed","","","","",""
"iPod for Windows 2006-01-10","","","Software","","","","","","","","false","","Installed","","","","",""
"IPView Lite","","","Software","","","","","","","","false","","Installed","","","","",""
"IRC","3 Whitehall Court, London","","Computer","P1000184 - Dell Inc. PowerEdge C2100 Rack Server","Do not migrate to asset","","P1000184","IT","","","false","","Installed","","","","Asset Manager",""
"IronMail-SD-01","","","Email Server","","","","","","","","false","","Installed","","","","",""
"IronMail-SD-02","","","Email Server","","","","","","","","false","","Installed","","","","",""
"ISScript","","","Software","","","","","","","","false","","Installed","","","","",""
"IT Services","","","Service","Unknown","","","","","","","false","Fred Luddy","Installed","","","","",""
"iTunes","","","Software","","","","","","","","false","","Installed","","","","",""
"iTunes","","","Software","","","","","","","","false","","Installed","","","","",""
"iTunes","","","Software","","","","","","","","false","","Installed","","","","",""
"iTunes","","","Software","","","","","","","","false","","Installed","","","","",""
"iTunes","","","Software","","","","","","","","false","","Installed","","","","",""
"iTunes","","","Software","","","","","","","","false","","Installed","","","","",""
"iTunes","","","Software","","","","","","","","false","","Installed","","","","",""
"iTunes","","","Software","","","","","","","","false","","Installed","","","","",""
"iTunes","","","Software","","","","","","","","false","","Installed","","","","",""
"iTunes","","","Software","","","","","","","","false","","Installed","","","","",""
"iTunes","","","Software","","","","","","","","false","","Installed","","","","",""
"J2SE Development Kit 5.0 Update 1","","","Software","","","","","","","","false","","Installed","","","","",""
"J2SE Development Kit 5.0 Update 5","","","Software","","","","","","","","false","","Installed","","","","",""
"J2SE Runtime Environment 5.0","","","Software","","","","","","","","false","","Installed","","","","",""
"J2SE Runtime Environment 5.0 Update 1","","","Software","","","","","","","","false","","Installed","","","","",""
"J2SE Runtime Environment 5.0 Update 2","","","Software","","","","","","","","false","","Installed","","","","",""
"J2SE Runtime Environment 5.0 Update 4","","","Software","","","","","","","","false","","Installed","","","","",""
"J2SE Runtime Environment 5.0 Update 5","","","Software","","","","","","","","false","","Installed","","","","",""
"J2SE Runtime Environment 5.0 Update 6","","","Software","","","","","","","","false","","Installed","","","","",""
"Jasc Paint Shop Photo Album","","","Software","","","","","","","","false","","Installed","","","","",""
"Jasc Paint Shop Photo Album","","","Software","","","","","","","","false","","Installed","","","","",""
"Jasc Paint Shop Photo Album 5","","","Software","","","","","","","","false","","Installed","","","","",""
"Jasc Paint Shop Pro 8 Dell Edition","","","Software","","","","","","","","false","","Installed","","","","",""
"Jasc Paint Shop Pro Studio, Dell Editon","","","Software","","","","","","","","false","","Installed","","","","",""
"Jasc Paint Shop Pro Studio.01 , Dell Edition 1.0.1.1 Patch
		","","","Software","","","","","","","","false","","Installed","","","","",""
"JASONHWXP","Via Nomentana 56, Rome","","Computer","P1000213 - Lenovo ThinkStation C20","Hardware","","P1000213","Customer Support","","","false","","Installed","Computer","","","Aileen Mottern",""
"Java 2 Runtime Environment Standard Edition v1.3.1_04","","","Software","","","","","","","","false","","Installed","","","","",""
"Java 2 Runtime Environment, SE","","","Software","","","","","","","","false","","Installed","","","","",""
"Java 2 Runtime Environment, SE","","","Software","","","","","","","","false","","Installed","","","","",""
"Java 2 Runtime Environment, SE","","","Software","","","","","","","","false","","Installed","","","","",""
"Java 2 Runtime Environment, SE","","","Software","","","","","","","","false","","Installed","","","","",""
"Java 2 Runtime Environment, SE","","","Software","","","","","","","","false","","Installed","","","","",""
"Java 2 Runtime Environment, SE","","","Software","","","","","","","","false","","Installed","","","","",""
"Java 2 Runtime Environment, SE","","","Software","","","","","","","","false","","Installed","","","","",""
"Java 2 Runtime Environment, SE v1.4.1_02","","","Software","","","","","","","","false","","Installed","","","","",""
"Java 2 SDK, SE","","","Software","","","","","","","","false","","Installed","","","","",""
"Java 2 SDK, SE","","","Software","","","","","","","","false","","Installed","","","","",""
"Java 2 SDK, SE","","","Software","","","","","","","","false","","Installed","","","","",""
"Java Application Server FLX","San Diego","","JavaServer","","","","","","","","false","","Installed","","","","",""
"Java Web Start","","","Software","","","","","","","","false","","Installed","","","","",""
"JAWS","","","Software","","","","","","","","false","","Installed","","","","",""
"JEFFPWXP","1635 Old 41 Highway Northwest #112, Kennesaw,GA","","Computer","P1000097 - Lenovo ThinkStation C20","Hardware","","P1000097","Sales","","","false","","Installed","Computer","","","Dude Lewbowskie",""
"JENREALTY","4492 Camino De La Plaza, San Ysidro,CA","","Computer","P1000221 - Gateway DX Series","Do not migrate to asset","","P1000221","Sales","","","false","","","","","","Bud Richman",""
"Jetsuite","","","Software","","","","","","","","false","","Installed","","","","",""
"JFreeChart 0.9.21 Demo","","","Software","","","","","","","","false","","Installed","","","","",""
"Jive Messenger","","","Software","","","","","","","","false","","Installed","","","","",""
"JMGX260-031403","13308 Midland Road, Poway,CA","","Computer","P1000105 - Cyberpower Gamer Ultra 2098","Do not migrate to asset","","P1000105","Development","","","false","","","","","","Don Goodliffe",""
"JMI-USERS","601 College Street, Clarksville,TN","","Computer","P1000225 - Dell Inc. PowerEdge T410","Do not migrate to asset","","P1000225","Sales","","","false","","","","","","Howard Johnson",""
"JMIBALT","9249 Cicero Avenue, Oak Lawn,IL","","Computer","P1000218 - Dell Inc. PowerEdge C1100 Rack Server","Do not migrate to asset","","P1000218","Sales","","","false","","","","","","Chuck Farley",""
"JMIDNS","601 College Street, Clarksville,TN","","Computer","P1000102 - Dell Inc. PowerEdge C1100 Rack Server","Do not migrate to asset","","P1000102","Sales","","","false","","","","","","Howard Johnson",""
"JMISQL","601 College Street, Clarksville,TN","","Computer","P1000215 - Dell Inc. PowerEdge T110 II","Do not migrate to asset","","P1000215","Sales","","","false","","","","","","Howard Johnson",""
"JMISRVR","601 College Street, Clarksville,TN","","Computer","P1000099 - Dell Inc. Precision T1600 Tower Workstation","Do not migrate to asset","","P1000099","Sales","","","false","","","","","","Howard Johnson",""
"Jobvite Enterprise Recruitment Services","","","Service","","Business Service","","","","","Rosalie Krigger","false","Veronica Radman","Installed","Service","","","",""
"JRun Server","","","Software","","","","","","","","false","","Installed","","","","",""
"JXplorer","","","Software","","","","","","","","false","","Installed","","","","",""
"JXplorer","","","Software","","","","","","","","false","","Installed","","","","",""
"Karaoke","","","Software","","","","","","","","false","","Installed","","","","",""
"Kaspersky On-line Scanner","","","Software","","","","","","","","false","","Installed","","","","",""
"KB823980 Patch Scanner","","","Software","","","","","","","","false","","Installed","","","","",""
"Keyhole 2 LT","","","Software","","","","","","","","false","","Installed","","","","",""
"KeySuite (TM) (Trial)","","","Software","","","","","","","","false","","Installed","","","","",""
"KIOSK Keyboard","3121 High Point Road, Greensboro,NC","","Computer Peripheral","P1000891 - Unknown","","","P1000891","Sales","","","false","","Installed","","","","Joe Employee",""
"KIOSK Scanner","3121 High Point Road, Greensboro,NC","","Computer Peripheral","P1000893 - Unknown","","","P1000893","Sales","","","false","","Installed","","","","Joe Employee",""
"KIRKK","601 College Street, Clarksville,TN","","Computer","P1000111 - Gateway DX Series","Do not migrate to asset","","P1000111","Sales","","","false","","","","","","Howard Johnson",""
"KODAK EASYSHARE Gallery Upload ActiveX Control","","","Software","","","","","","","","false","","Installed","","","","",""
"Kodak EasyShare software","","","Software","","","","","","","","false","","Installed","","","","",""
"KODAK Picture CD","","","Software","","","","","","","","false","","Installed","","","","",""
"Konfabulator","","","Software","","","","","","","","false","","Installed","","","","",""
"KSU","","","Software","","","","","","","","false","","Installed","","","","",""
"KSU","","","Software","","","","","","","","false","","Installed","","","","",""
"Kyocera Mita Address Book for Network FAX","","","Software","","","","","","","","false","","Installed","","","","",""
"Kyocera Mita Address Editor","","","Software","","","","","","","","false","","Installed","","","","",""
"KyoceraMita Scanner File Utility","","","Software","","","","","","","","false","","Installed","","","","",""
"La Quinta Desktop Directory with MultiView Reader","","","Software","","","","","","","","false","","Installed","","","","",""
"LAN-Express AS IEEE 802.11 Wireless LAN","","","Software","","","","","","","","false","","Installed","","","","",""
"LAN-Fax Utilities","","","Software","","","","","","","","false","","Installed","","","","",""
"Laser Control","","","Software","","","","","","","","false","","Installed","","","","",""
"LaserAIO","","","Software","","","","","","","","false","","Installed","","","","",""
"LaunchAnywhere","","","Software","","","","","","","","false","","Installed","","","","",""
"lawson_app_100","Bockenheimer Landstraﬂe 123, Frankfurt","","UNIX Server","P1000066 - IBM x3690 X5 Rack","Do not migrate to asset","","P1000066","","","Amos Linnan","false","","Installed","","","","",""
"lawson_db","","","Database","","","","","","","","false","","Installed","","","","",""
"lawson_db_100","Bockenheimer Landstraﬂe 123, Frankfurt","","UNIX Server","P1000176 - IBM x3690 X5 Rack","Hardware","","P1000176","","","Amos Linnan","false","","Installed","Computer","","","",""
"LDAP Browser-Editor","","","Software","","","","","","","","false","","Installed","","","","",""
"Learn.com Player (Uninstall Only)","","","Software","","","","","","","","false","","Installed","","","","",""
"Learn2 Player (Uninstall Only)","","","Software","","","","","","","","false","","Installed","","","","",""
"LEC Translate DotNet","","","Software","","","","","","","","false","","Installed","","","","",""
"Leopard Search Toolbar","","","Software","","","","","","","","false","","Installed","","","","",""
"Licensing Service","","","Software","","","","","","","","false","","Installed","","","","",""
"Linksys Viewer & Recorder Utility","","","Software","","","","","","","","false","","Installed","","","","",""
"Listen Rhapsody","","","Software","","","","","","","","false","","Installed","","","","",""
"LiveAdvisor","","","Software","","","","","","","","false","","Installed","","","","",""
"LiveReg (Symantec Corporation)","","","Software","","","","","","","","false","","Installed","","","","",""
"LiveReg (Symantec Corporation)","","","Software","","","","","","","","false","","Installed","","","","",""
"LiveReg (Symantec Corporation)","","","Software","","","","","","","","false","","Installed","","","","",""
"LiveReg (Symantec Corporation)","","","Software","","","","","","","","false","","Installed","","","","",""
"LiveReg (Symantec Corporation)","","","Software","","","","","","","","false","","Installed","","","","",""
"LiveUpdate","","","Software","","","","","","","","false","","Installed","","","","",""
"LiveUpdate 1.80 (Symantec Corporation)","","","Software","","","","","","","","false","","Installed","","","","",""
"LiveUpdate 1.90 (Symantec Corporation)","","","Software","","","","","","","","false","","Installed","","","","",""
"LiveUpdate 2.6 (Symantec Corporation)","","","Software","","","","","","","","false","","Installed","","","","",""
"LiveUpdate 3.0 (Symantec Corporation)","","","Software","","","","","","","","false","","Installed","","","","",""
"LiveUpdate BVRP Software","","","Software","","","","","","","","false","","Installed","","","","",""
"lnux100","322 West 52nd Street, New York,NY","","Linux Server","P1000165 - Iris 5875","Do not migrate to asset","","P1000165","","","Lynda Caraway","false","","Installed","","","","",""
"lnux101","322 West 52nd Street, New York,NY","","Linux Server","P1000054 - Iris 5875","Do not migrate to asset","","P1000054","","","Lynda Caraway","false","","Installed","","","","",""
"local hd","","","Disk","","","","","","","","false","","Installed","","","","",""
"local hd","","","Disk","","","","","","","","false","","Installed","","","","",""
"Logitech Desktop Messenger","","","Software","","","","","","","","false","","Installed","","","","",""
"Logitech Desktop Messenger","","","Software","","","","","","","","false","","Installed","","","","",""
"Logitech iTouch Software","","","Software","","","","","","","","false","","Installed","","","","",""
"Logitech QuickCam Software","","","Software","","","","","","","","false","","Installed","","","","",""
"Logitech Resource Center","","","Software","","","","","","","","false","","Installed","","","","",""
"Logitech SetPoint","","","Software","","","","","","","","false","","Installed","","","","",""
"LogitechÆ Camera Driver","","","Software","","","","","","","","false","","Installed","","","","",""
"LogMeIn","","","Software","","","","","","","","false","","Installed","","","","",""
"Lotus Notes 5.0 Connector","","","Software","","","","","","","","false","","Installed","","","","",""
"MacBook Air 13""","30 Katharinenstr, Hamburg","","Computer","P1000640 - Apple MacBook Air 13""","Hardware","","P1000640","Sales","","","false","","Installed","Computer","","","Florine Willardson",""
"MacBook Air 13""","Paradise Road, Richmond, London","","Computer","P1000666 - Apple MacBook Air 13""","Hardware","","P1000666","Sales","","","false","","Installed","Computer","","","Heath Vanalphen",""
"MacBook Air 13""","30 Katharinenstr, Hamburg","","Computer","P1000631 - Apple MacBook Air 13""","Hardware","","P1000631","Sales","","","false","","Installed","Computer","","","Roseann Jerko",""
"MacBook Air 13""","140 George Street, Sydney","","Computer","P1000698 - Apple MacBook Air 13""","Hardware","","P1000698","Sales","","","false","","Installed","Computer","","","Lacy Hyten",""
"MacBook Air 13""","27, Boulevard Vitton, Paris","","Computer","P1000710 - Apple MacBook Air 13""","Hardware","","P1000710","Sales","","","false","","Installed","Computer","","","Fabian Mcshaw",""
"MacBook Air 13""","Carretera Cancun-Chetumal KM 22, Cancun","","Computer","P1000735 - Apple MacBook Air 13""","Hardware","","P1000735","Sales","","","false","","Installed","Computer","","","Renae Eldrige",""
"MacBook Air 13""","30 Katharinenstr, Hamburg","","Computer","P1000637 - Apple MacBook Air 13""","Hardware","","P1000637","Sales","","","false","","Installed","Computer","","","Lane Brantz",""
"MacBook Air 13""","27, Boulevard Vitton, Paris","","Computer","P1000626 - Apple MacBook Air 13""","Hardware","","P1000626","Sales","","","false","","Installed","Computer","","","Edgardo Prudente",""
"MacBook Air 13""","1635 Old 41 Highway Northwest #112, Kennesaw,GA","","Computer","P1000683 - Apple MacBook Air 13""","Hardware","","P1000683","Sales","","","false","","Installed","Computer","","","Mitchel Harnar",""
"MacBook Air 13""","25 New Chardon Street, Boston,MA","","Computer","P1000679 - Apple MacBook Air 13""","Hardware","","P1000679","Sales","","","false","","Installed","Computer","","","Reginald Humes",""
"MacBook Air 13""","Paradise Road, Richmond, London","","Computer","P1000738 - Apple MacBook Air 13""","Hardware","","P1000738","Sales","","","false","","Installed","Computer","","","Petra Clemmens",""
"MacBook Air 13""","140 George Street, Sydney","","Computer","P1000609 - Apple MacBook Air 13""","Hardware","","P1000609","Sales","","","false","","Installed","Computer","","","Doreen Sakurai",""
"MacBook Air 13""","30 Katharinenstr, Hamburg","","Computer","P1000716 - Apple MacBook Air 13""","Hardware","","P1000716","Sales","","","false","","Installed","Computer","","","Rolando Baumann",""
"MacBook Air 13""","Paradise Road, Richmond, London","","Computer","P1000673 - Apple MacBook Air 13""","Hardware","","P1000673","Sales","","","false","","Installed","Computer","","","Alene Rabeck",""
"MacBook Air 13""","27, Boulevard Vitton, Paris","","Computer","P1000618 - Apple MacBook Air 13""","Hardware","","P1000618","Sales","","","false","","Installed","Computer","","","Tia Lino",""
"MacBook Air 13""","140 George Street, Sydney","","Computer","P1000695 - Apple MacBook Air 13""","Hardware","","P1000695","Sales","","","false","","Installed","Computer","","","Martin Carley",""
"MacBook Air 13""","621 6th Avenue South, North Myrtle Beach,SC","","Computer","P1000686 - Apple MacBook Air 13""","Hardware","","P1000686","Sales","","","false","","Installed","Computer","","","Luella Pliner",""
"MacBook Air 13""","946 Donax Avenue, Imperial Beach,CA","","Computer","P1000243 - Apple MacBook Air 13""","Hardware","","P1000243","Development","","","false","","Installed","Computer","","","Allyson Gillispie",""
"MacBook Air 13""","Paradise Road, Richmond, London","","Computer","P1000671 - Apple MacBook Air 13""","Hardware","","P1000671","Sales","","","false","","Installed","Computer","","","Bradly Hasselvander",""
"MacBook Air 13""","Paradise Road, Richmond, London","","Computer","P1000744 - Apple MacBook Air 13""","Hardware","","P1000744","Sales","","","false","","Installed","Computer","","","Efren Baucher",""
"MacBook Air 13""","Paradise Road, Richmond, London","","Computer","P1000660 - Apple MacBook Air 13""","Hardware","","P1000660","Sales","","","false","","Installed","Computer","","","Robt Braithwaite",""
"MacBook Air 13""","30 Katharinenstr, Hamburg","","Computer","P1000719 - Apple MacBook Air 13""","Hardware","","P1000719","Sales","","","false","","Installed","Computer","","","Lee Javens",""
"MacBook Air 13""","30 Katharinenstr, Hamburg","","Computer","P1000644 - Apple MacBook Air 13""","Hardware","","P1000644","Sales","","","false","","Installed","Computer","","","Berta Karczewski",""
"MacBook Air 13""","3740 Greenbriar Street, Houston,TX","","Computer","P1000676 - Apple MacBook Air 13""","Hardware","","P1000676","Sales","","","false","","Installed","Computer","","","Sharlene Circelli",""
"MacBook Air 13""","Paradise Road, Richmond, London","","Computer","P1000657 - Apple MacBook Air 13""","Hardware","","P1000657","Sales","","","false","","Installed","Computer","","","Valeria Lingbeek",""
"MacBook Air 13""","945 South Birch Street, Glendale,CO","","Computer","P1000687 - Apple MacBook Air 13""","Hardware","","P1000687","Sales","","","false","","Installed","Computer","","","Haley Rocheford",""
"MacBook Air 13""","27, Boulevard Vitton, Paris","","Computer","P1000709 - Apple MacBook Air 13""","Hardware","","P1000709","Sales","","","false","","Installed","Computer","","","Jasmin Gum",""
"MacBook Air 13""","Paradise Road, Richmond, London","","Computer","P1000663 - Apple MacBook Air 13""","Hardware","","P1000663","Sales","","","false","","Installed","Computer","","","Patty Bernasconi",""
"MacBook Air 13""","30 Katharinenstr, Hamburg","","Computer","P1000632 - Apple MacBook Air 13""","Hardware","","P1000632","Sales","","","false","","Installed","Computer","","","Rebekah Padley",""
"MacBook Air 13""","6882 Linda Vista Road, San Diego,CA","","Computer","P1000682 - Apple MacBook Air 13""","Hardware","","P1000682","Sales","","","false","","Installed","Computer","","","Nadia Wilshire",""
"MacBook Air 13""","Paradise Road, Richmond, London","","Computer","P1000742 - Apple MacBook Air 13""","Hardware","","P1000742","Sales","","","false","","Installed","Computer","","","Elmo Dagenais",""
"MacBook Air 13""","27, Boulevard Vitton, Paris","","Computer","P1000619 - Apple MacBook Air 13""","Hardware","","P1000619","Sales","","","false","","Installed","Computer","","","Roman Simone",""
"MacBook Air 13""","Paradise Road, Richmond, London","","Computer","P1000743 - Apple MacBook Air 13""","Hardware","","P1000743","Sales","","","false","","Installed","Computer","","","Elmo Gabouer",""
"MacBook Air 13""","27, Boulevard Vitton, Paris","","Computer","P1000628 - Apple MacBook Air 13""","Hardware","","P1000628","Sales","","","false","","Installed","Computer","","","Carolina Kinlaw",""
"MacBook Air 13""","25 New Chardon Street, Boston,MA","","Computer","P1000680 - Apple MacBook Air 13""","Hardware","","P1000680","Sales","","","false","","Installed","Computer","","","Raphael Bickel",""
"MacBook Air 13""","30 Katharinenstr, Hamburg","","Computer","P1000634 - Apple MacBook Air 13""","Hardware","","P1000634","Sales","","","false","","Installed","Computer","","","Neva Marsell",""
"MacBook Air 13""","Paradise Road, Richmond, London","","Computer","P1000670 - Apple MacBook Air 13""","Hardware","","P1000670","Sales","","","false","","Installed","Computer","","","Caitlin Reiniger",""
"MacBook Air 13""","2-12-1 Ookayama, Meguro-ku, Tokyo","","Computer","P1000730 - Apple MacBook Air 13""","Hardware","","P1000730","Sales","","","false","","Installed","Computer","","","Robbie Deshay",""
"MacBook Air 13""","Paradise Road, Richmond, London","","Computer","P1000659 - Apple MacBook Air 13""","Hardware","","P1000659","Sales","","","false","","Installed","Computer","","","Rosalia Kennemur",""
"MacBook Air 13""","140 George Street, Sydney","","Computer","P1000696 - Apple MacBook Air 13""","Hardware","","P1000696","Sales","","","false","","Installed","Computer","","","Marta Warran",""
"MacBook Air 13""","Paradise Road, Richmond, London","","Computer","P1000741 - Apple MacBook Air 13""","Hardware","","P1000741","Sales","","","false","","Installed","Computer","","","Karen Zombo",""
"MacBook Air 13""","27, Boulevard Vitton, Paris","","Computer","P1000702 - Apple MacBook Air 13""","Hardware","","P1000702","Sales","","","false","","Installed","Computer","","","Pilar Suddeth",""
"MacBook Air 13""","3121 High Point Road, Greensboro,NC","","Computer","P1000678 - Apple MacBook Air 13""","Hardware","","P1000678","Sales","","","false","","Installed","Computer","","","Rosalind Krenzke",""
"MacBook Air 13""","30 Katharinenstr, Hamburg","","Computer","P1000718 - Apple MacBook Air 13""","Hardware","","P1000718","Sales","","","false","","Installed","Computer","","","Leif Arguin",""
"MacBook Air 13""","5505 Stevens Way, San Diego,CA","","Computer","P1000685 - Apple MacBook Air 13""","Hardware","","P1000685","Sales","","","false","","Installed","Computer","","","Margarito Kornbau",""
"MacBook Air 13""","30 Katharinenstr, Hamburg","","Computer","P1000713 - Apple MacBook Air 13""","Hardware","","P1000713","Sales","","","false","","Installed","Computer","","","Teri Erlewine",""
"MacBook Air 13""","30 Katharinenstr, Hamburg","","Computer","P1000722 - Apple MacBook Air 13""","Hardware","","P1000722","Sales","","","false","","Installed","Computer","","","Johnie Minaai",""
"MacBook Air 13""","30 Katharinenstr, Hamburg","","Computer","P1000720 - Apple MacBook Air 13""","Hardware","","P1000720","Sales","","","false","","Installed","Computer","","","Kelli Varrato",""
"MacBook Air 13""","30 Katharinenstr, Hamburg","","Computer","P1000714 - Apple MacBook Air 13""","Hardware","","P1000714","Sales","","","false","","Installed","Computer","","","Son Marschke",""
"MacBook Air 13""","30 Katharinenstr, Hamburg","","Computer","P1000643 - Apple MacBook Air 13""","Hardware","","P1000643","Sales","","","false","","Installed","Computer","","","Carol Krisman",""
"MacBook Air 13""","150 Kennedy Road, Hong Kong","","Computer","P1000611 - Apple MacBook Air 13""","Hardware","","P1000611","Sales","","","false","","Installed","Computer","","","Hillary Holmes",""
